id,question_id,positionable_id,positionable_type,score,comment,created_at,updated_at
31,4,2,Candidate,3,"No all, where possible and accessible to people should be re-let to those with a housing need",2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
32,5,2,Candidate,3,We are totally opposed to the new water tax. We believe it would be far better to spend €1 billion mending the broken water system which loses 40 per cent of water each year than spending €1 Billion on installing meters. We stopped the introduction of water charges in the North of Ireland.,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
33,6,2,Candidate,2,Our position is very clear; we opposed the property tax and would scrap it because it is an unfair tax on the family home. We would replace it with a Wealth Tax on assets over €1 million. We would also reintroduce the non-principal private residence tax on second properties.,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
34,7,2,Candidate,3,Yes,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
35,8,2,Candidate,2,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
36,9,2,Candidate,2,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
37,10,2,Candidate,3,Yes,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
38,11,2,Candidate,3,The problem of horses in many of our housing estates has been with us for nearly 40 years. It is unacceptable and needs to be addressed. Horses have no place in estates and a solution which all parties involved can sign up to desperately needs to be found.,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
39,12,2,Candidate,3,"Yes, the parade has shown that Limerick City can be a very progressive place to live",2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
40,13,2,Candidate,1,This government promised us real action on jobs. What we're getting instead is a demand that unemployed work for free. It's a sick joke and an insult to the thousands of people currently unemployed in the city and county,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
41,14,2,Candidate,3,Yes,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
42,15,2,Candidate,3,Yes and we need more regulation to make it easier to evict tenants of local authority housing who are involved in anti-social behaviour,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
43,16,2,Candidate,3,Yes,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
44,17,2,Candidate,2,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
45,18,2,Candidate,1,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
46,19,2,Candidate,0,"Yes, we need to get more people onto ( a better funded) public transport, get them walking , cycling and using public transport",2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
47,20,2,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
48,21,2,Candidate,1,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
49,22,2,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
50,23,2,Candidate,3,,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
51,24,2,Candidate,3,Providing the elected mayor is given powers to affect change,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
52,25,2,Candidate,3,Where the issue is of great public concern,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
53,26,2,Candidate,3,Community groups where organised properly can be very effective in building local communities and the City,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
54,27,2,Candidate,3,This can be very difficult but I amvery pleased that my party has the highest number of females at 31.6% of the total number selected to run in the 2014 Local election campaign and 3 out 4 candidates whe have for the European Election are female,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
55,1,3,Candidate,3,"with over 3500 people on our housing application list, we must provide new build for our people.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
56,2,3,Candidate,2,this system has proven to be controversial with some residents in private estates.,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
57,3,3,Candidate,1,"one-off rural housing is part of country life, I will always support this system.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
58,4,3,Candidate,3,"these lands could serve as a new housing build program, alleviating the crises in application and kick-starting the bu.ilding program, thus the creation of badly need jobs",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
59,5,3,Candidate,1,"water charges are being introduced as a result of the bail-out, they were singled out as a huge source of income in repaying our debt, however I will propose a water waiver scheme to help people on low income and those who are unable to meet the payment, also we will have to look at a certain amount of free liters per household depending on the number in the family",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
60,6,3,Candidate,3,"yes we have some power at budget meeting to reduce up to 15%, depending on our book of estimates produced at year end, we may find some extra movement to make bigger cuts to the bill.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
61,7,3,Candidate,3,"this was misleading by Government ministers, somehow they did a u-turn and no-one cried foul, this is a huge disappointment to me as a F G party member, I know only too well the effects this money could make locally for services.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
62,8,3,Candidate,1,"Commercial rates in Limerick City were too high, this came about over years when Councillors took the easy option to increase rates with no regard for the business communities.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
63,9,3,Candidate,2,"l monies allocated to Travellers comes from central funds, in Limerick we spend as required on them, recently over 3 million was spent on upgrading all sites, we are always accused of not supporting this is very unbalanced and finds unfair media reports.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
64,10,3,Candidate,2,"the Catholic Church educated children in Ireland, a good job was done by them, since (in my opinion) they were reduced in their roll we have some-how lost discipline, respect, manners,",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
65,11,3,Candidate,3,"this is not as easy as one may think, because of criminal behavior, abuse of these horses, we have to rely on the Cork pound in taking the horse from Limerick, this is most effective at night time, by day there is too much time from the time a report comes in, by the time they arrive from Cork the horse is removed, on average over 1000 euro per horse, I agree more can be done.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
66,12,3,Candidate,3,"as I am aware L.C.C has increased its support in this event, it is always launched by the Mayor and is always on the culture agenda.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
67,13,3,Candidate,2,"for years we have public comment to have unemployed people put out to do sweeping of public roads, cut public grass, do odd jobs in local estates, now the government launches gateway for hundreds of low paid work, look at the protests ongoing all week, dammed if you do, dammed if you do-not, (my opinion) they should be offered more than 20 euro, put some respect into their work place.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
68,14,3,Candidate,2,"Asylum seekers,have the same human rights on equal grounds, the system surrounding their application process is governed by Justice department, they have rules I believe drawn up by the europepean parliment",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
69,15,3,Candidate,3,"I have seen dozens of court applications prepared by L.C.C. officers only to be denied in court, the Judges are not up to their task in allowing do-gooders give evidence as to not evict.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
70,16,3,Candidate,2,"take a look at all recent towns bypassed, the local economy dies as a result, we are left counting the costs for ever more, I feel smarter traffic management at peak time should be looked at.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
71,17,3,Candidate,2,I have not researched this issue in full as to give a fair comment.,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
72,18,3,Candidate,2,"conservation should have being a priority for ten years or more, our water does not fall from the sky into our taps, it costs 52 million euro per year in Limerick to treat this water, some of the metering funds should be ring-fenced to pave the way for using grey water, new measures should be applied through domestic house, public planning applications, schools, build in rain water harvesting methods going forward, this will reduce and conserve.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
73,19,3,Candidate,2,"take a look at the latest bus corridor in Ballinacurra, not a suitable road, this is going to cause an increased number of traffic accidents, the same can be said for the city center roads are too narrow.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
74,20,3,Candidate,3,"the city centre should focus on non retail business, over head shop tenants, new cinemas, prolonged entertainment, street events, upgrade existing retail units, allow first three years free rates to new type business, use the river shannon for water events (tide allowing) put a Garda box at O Connel street William Street junction improve the image, make it a friendly place to come and go.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
75,21,3,Candidate,1,"this bridge like all other public buildings are the ownership of the people, unless the is full agreement for and on behalf of the people no name changes can be forced upon or against the people's wish.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
76,22,3,Candidate,1,"we allow free parking at Christmas time, the spaces are taken for full duration by the same cars, no or little evidence of increased car traffic shoppers coming to spend, however we could introduce 4/5 free spaces on main streets for 2 hour periods, cars must move after this.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
77,23,3,Candidate,3,Agree the likely-hood of a pedestrian passing on foot as against driving proves a muck better chance of going into a shop,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
78,24,3,Candidate,2,"Lets see what happens in Dublin this time round, I believe the concern would be a parachute candidate put in by the big parties with a sense of power control.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
79,25,3,Candidate,3,"this should be the case, I would support this for all key issues.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
80,26,3,Candidate,3,"the S.P.C. 5 committees (strategic policy committee) has at least 4 sometimes 5 non elected members (16 in total) sitting at all times, this committee uses it remit to promote propose policies to full council, so yes they are facilitated in the decision making process.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
81,27,3,Candidate,3,"democracy is about choice, female candidates have every opportunity to put themselves forward, I have personally tried to encourage many the female, I really do not see political parties insisting on this policy",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
82,1,4,Candidate,3,"Homelessness and families living with relatives is too high, families deserve a home",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
83,2,4,Candidate,1,"Social housing should be provided by the government, not relying on the private market",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
84,3,4,Candidate,2,,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
85,4,4,Candidate,1,They should be finished and either sold or used as social housing,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
86,5,4,Candidate,3,This is an unacceptable attack on families and the lower/middle income earners not accounting for ability to pay,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
87,6,4,Candidate,3,"LPT should be abolished, but for now I would accept a lowering of the tax to help those who cant afford it",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
88,7,4,Candidate,3,none of this money should be going to the wealthy or the banks,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
89,8,4,Candidate,1,Limerick needs a revival and hitting businesses is not the way to create jobs,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
90,9,4,Candidate,1,,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
91,10,4,Candidate,1,"Catholic schools do not force anyone into religion, I went to St Clements myself and non-catholics were very welcome",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
92,11,4,Candidate,1,"This is costing the average tax payer too much money, when very little harm is being done",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
93,12,4,Candidate,3,I fully support equality for the LGBT community and will be seeking the legalisation of marriage for them,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
94,13,4,Candidate,1,"They should get jobs off the local authority with proper pay, to get people back to work",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
95,14,4,Candidate,1,"For security purposes these processes are in place, but they are welcome to work once they have been cleared",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
96,15,4,Candidate,3,In extreme circumstances then yes,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
97,16,4,Candidate,3,Main roads should not go through any towns and this needs to be addressed for traffic and business purposes,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
98,17,4,Candidate,1,"Wind farms provide jobs and free energy, while helping the environment",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
99,18,4,Candidate,1,"this is not true, it is merely another excuse for taxing the people of Ireland",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
100,19,4,Candidate,3,"Where it is deemed safe, practical and economical",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
101,20,4,Candidate,3,This is the heart of Limerick and needs to start being treated as such,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
102,21,4,Candidate,1,Its not worth the cost and the hassle to rename a bridge,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
103,22,4,Candidate,3,"Extend free parking hours, and have more shops sell parking discs, but some revenue must be made from parking",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
104,23,4,Candidate,3,Areas that would be most likely to generate tourism and business should be pedestrionised,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
105,24,4,Candidate,1,As with this government system it is up to those in power who represents the council,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
106,25,4,Candidate,3,Locals should have more of a say in their own area through such a method,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
107,26,4,Candidate,3,They should definitely be consulted about issues concerning their area,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
108,27,4,Candidate,1,"It is up to the parties who is the best candidate, it should not matter about gender",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
109,1,5,Candidate,3,"We could do with more social housing, however, in smaller developments. Not large quantities in one area.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
110,2,5,Candidate,3,"I would certainly agree with, rents may be a bit out of reach for some working families so I do feel they should get some financial aid.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
111,3,5,Candidate,1,I would not agree with this statement. If the houses are kept in line and designed similar to existing properties in the area there would not be any issue.,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
112,4,5,Candidate,1,"Certainly not, they should be finished off and help aid those who cannot afford to pay the full market value in their area.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
113,5,5,Candidate,2,"Water rates are being introduced, I hope they will be affordable for everybody.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
114,6,5,Candidate,3,I would certainly agree in some circumstances.,2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
115,7,5,Candidate,3,"Yes, as we were all lead to believ it was then it should be.",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
116,8,5,Candidate,1,"Limerick rates have been reduced by 15 percent, this is not enough. Rates are still very high and the city is dying a death",2014-05-14 21:31:45 UTC,2014-05-14 21:31:45 UTC
117,9,5,Candidate,0,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
118,10,5,Candidate,1,No would not agree with this.,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
119,11,5,Candidate,3,"Yes I totally agree with this, I am strongly against cruelty to animals",2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
120,12,5,Candidate,3,Yes I would agree,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
121,13,5,Candidate,3,Yes if people are capable to work,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
122,14,5,Candidate,3,Yes as they have to be able to earn a living to survive.,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
123,15,5,Candidate,3,"Yes like private tenancies, if people are breaching there agreement and disturbing other residents then they should be evicted.",2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
124,16,5,Candidate,3,"Yes, provided the money comes from Europe",2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
125,17,5,Candidate,2,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
126,18,5,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
127,19,5,Candidate,3,"Yes, especially as cycling is getting more and more popular we need to provide cycle lanes for the cyclist safety",2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
128,20,5,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
129,21,5,Candidate,1,Ni I think it should be named after J.P. McManus as he has done so much for our city.,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
130,22,5,Candidate,3,Strongly agree as we need to attract people to the city.,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
131,23,5,Candidate,2,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
132,24,5,Candidate,2,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
133,25,5,Candidate,2,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
134,26,5,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
135,27,5,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
136,1,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
137,2,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
138,3,6,Candidate,1,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
139,4,6,Candidate,1,Depends on location & population density,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
140,5,6,Candidate,1,To curtail misuse & wastage. Exemptions should used for those not in a position to pay at this moment in time.,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
141,6,6,Candidate,1,"Yes, rates should be reduced but we need to get optimum services & value for money.",2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
142,7,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
143,8,6,Candidate,1,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
144,9,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
145,10,6,Candidate,2,We have a strong Catholic ethos in Ireland however we also need to embrace multiculturalism,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
146,11,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
147,12,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
148,13,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
149,14,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
150,15,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
151,16,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
152,17,6,Candidate,1,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
153,18,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
154,19,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
155,20,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
156,21,6,Candidate,3,This was passed by a majority decision in the chamber & I think it would be offending US/Irish relations as some of his ancestors live in County Limerick (Lough Gur / Bruff) Another suggestion would be 'The JP McManus Bridge' due to his contribution to Limerick.,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
157,22,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
158,23,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
159,24,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
160,25,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
161,26,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
162,27,6,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
163,1,7,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
164,2,7,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
165,3,7,Candidate,1,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
166,4,7,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
167,5,7,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
168,6,7,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
169,7,7,Candidate,3,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
170,8,7,Candidate,1,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
171,9,7,Candidate,2,,2014-05-14 21:31:46 UTC,2014-05-14 21:31:46 UTC
172,10,7,Candidate,1,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
173,11,7,Candidate,3,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
174,12,7,Candidate,3,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
175,13,7,Candidate,3,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
176,14,7,Candidate,3,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
177,15,7,Candidate,3,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
178,16,7,Candidate,3,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
179,17,7,Candidate,1,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
180,18,7,Candidate,2,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
181,19,7,Candidate,3,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
182,20,7,Candidate,3,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
183,21,7,Candidate,2,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
184,22,7,Candidate,3,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
185,23,7,Candidate,3,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
186,24,7,Candidate,2,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
187,25,7,Candidate,1,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
188,26,7,Candidate,2,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
189,27,7,Candidate,3,,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
190,1,8,Candidate,1,We need to move away from providing housing and look at using rental options through private landlords. This is more economical and sustainable.,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
191,2,8,Candidate,3,As above,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
192,3,8,Candidate,1,I would like to continue to see local rural families being supported to stay living locally and maintain rural populations. Only if this is of no cost to the environment.,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
193,4,8,Candidate,1,Locally I can see a turnaround in the housing market and jobs coming on line for companies like Regeneron and Analog there will be housing needs. Ghost estates should be redeveloped to cater for those demands.,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
194,5,8,Candidate,1,We need to invest in our water. We are seeing figures of 50% of water lost through leaking pipes. There is a need to invest in and protect this limited resource. Any rates need to be low and means tested.,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
195,6,8,Candidate,2,I would like to see rates reduced but not at a cost of cutting spending on what is already a stretched budget and service.,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
196,7,8,Candidate,3,We need to see the tax we pay locally being spent locally. And along with that greater accountability to the public from the local council.,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
197,8,8,Candidate,1,We need to look at making our city a competitive one that can attract jobs and investment.,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
198,9,8,Candidate,2,We need to look at stronger engagement and with the community and the community with the council to see how we can better support than we currently are.,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
199,10,8,Candidate,2,I believe that there should be freedom of expression in terms of faith and spirituality. People should have the option to send their children to a religious based patronage or non-religious.,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
200,11,8,Candidate,2,We need to prevent cruelty to animals while supporting a culturally aspect of Limerick people.Impounding has caused serious issues but we can longer stand back and see horses being badly treated.,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
201,12,8,Candidate,3,The LGBT community should be supported like any other part of our community.,2014-05-14 21:31:47 UTC,2014-05-14 21:31:47 UTC
